No,CAS_Number,VE2_Dzp,SlogP_VSA7,nN(CO)2,B02[C-Cl],Xch-3dv,AATSC0v,T(Cl..Cl),F02[N-S],C-033,B04[O-O],NdO,SRW05,SdsN,nN=C-N<,B07[Cl-Cl],pLC50_sw,Series
120,20830-75-5,0.132857211,0,0,0,0,48.39182382,0,0,0,1,1,3.044522438,0,0,0,-1.107238221,T
121,22204-53-1,0.234044445,0,0,0,0,51.06826461,0,0,0,0,1,0,0,0,0,0.276724334,T
122,22224-92-6,0.225304252,0,0,0,0,53.84947876,0,0,0,0,1,0,0,0,0,1.937890271,T
125,25812-30-0,0.233396137,0,0,0,0,50.84359747,0,0,0,0,1,0,0,0,0,0.2100436,T
127,28249-77-6,0.245233096,5.022633314,0,1,0,56.27447122,0,1,0,0,1,0,0,0,0,1.193971694,T
129,40596-69-8,0.208306502,0,0,0,0,49.71540308,0,0,0,0,1,0,0,0,0,0.996528277,T
130,41859-67-0,0.196906284,5.022633314,0,1,0,51.04876099,0,0,0,0,2,0,0,0,0,0.448289817,T
131,42615-29-2,0.209346701,0,0,0,0,52.86243653,0,0,0,0,2,0,0,0,0,1.164374208,T
132,49562-28-9,0.196271953,5.022633314,0,1,0,52.27214233,0,0,0,0,2,0,0,0,0,0.421859198,T
133,50471-44-8,0.233277911,10.04526663,1,1,0,47.56321669,4,0,0,1,2,2.397895273,0,0,0,0.627759736,T
136,52315-07-8,0.186624706,0,0,1,0.166666667,52.06758278,2,0,0,0,1,4.262679877,0,0,0,1.639411761,T
137,52918-63-5,0.186672687,0,0,0,0.166666667,55.63270918,0,0,0,0,1,4.262679877,0,0,0,2.371874609,T
139,58812-37-6,0.152271907,0,0,0,0.11785113,48.53297046,0,0,2,1,3,4.394449155,0,0,0,5.430578421,T
140,66357-07-1,0.230051047,0,0,0,0,50.20138189,0,0,0,0,1,2.397895273,0,0,0,1.657920487,T
141,66357-35-5,0.213234178,0,0,0,0,48.66746995,0,0,0,0,2,2.397895273,0,0,0,0.198434492,T
142,71751-41-2,0.124637436,0,0,0,0,49.30411497,0,0,0,1,1,2.397895273,0,0,0,2.336754695,T
143,71827-03-7,0.124601542,0,0,0,0,49.15946385,0,0,0,1,1,2.397895273,0,0,0,2.231997361,T
146,79794-75-5,0.186881819,5.022633314,0,1,0,52.72977016,0,0,0,0,1,0,0,0,0,0.97177499,T
147,81103-11-9,0.136317235,0,0,0,0,47.1305983,0,0,0,1,2,0,0,0,0,0.946025091,T
148,82419-36-1,0.191158227,0,0,0,0,47.14098298,0,0,0,1,2,0,0,0,0,0.727576083,T
149,100643-71-8,0.209580922,5.022633314,0,1,0,54.49237809,0,0,0,0,0,0,0,0,0,1.927315154,T
150,101043-37-2,0.117434009,0,0,0,0,47.43235445,0,0,0,0,9,0,3.939178334,0,0,3.590098447,T
151,116159-73-0,0.144354242,0,0,0,0,47.36703097,0,0,0,1,6,2.397895273,0,0,0,3.568938896,T
152,117704-25-3,0.122643526,0,0,0,0,49.5450989,0,0,0,1,1,2.397895273,0,0,0,2.141702202,T
153,120068-37-3,0.190404987,10.04526663,0,1,0,29.28096285,4,0,0,0,1,2.397895273,0,0,0,1.882047384,T
154,138261-41-3,0.237352443,5.153109817,0,1,0,43.80159456,0,0,0,0,2,2.397895273,3.278774075,0,0,0.031002117,T
155,170727-59-0,0.187102274,5.022633314,0,1,0,52.72977016,0,0,0,0,1,0,0,0,0,0.603489278,T
156,174501-65-6,0.31067579,0,0,0,0,48.68195464,0,0,1,0,0,2.397895273,0,0,0,-0.314313018,T
157,189084-61-5,0.241061737,0,0,0,0,56.53392551,0,0,0,0,0,0,0,0,0,1.34402589,T
158,244193-52-0,0.263098902,0,0,0,0,49.19797643,0,0,1,0,0,2.397895273,0,0,0,1.770113755,T
